Warm Water Volume (m**3,5N-5S,120E-155W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date     Volume       Anomaly
201902 0.1765515E+16 0.5155974E+14
201903 0.1747041E+16 0.2068913E+14
201904 0.1713837E+16 -.2729317E+13
201905 0.1680710E+16 -.7670677E+13
201906 0.1658240E+16 -.5825049E+11
201907 0.1656366E+16 0.1649012E+14
201908 0.1677219E+16 0.3695658E+14
201909 0.1705899E+16 0.4955520E+14
201910 0.1727946E+16 0.4390906E+14
201911 0.1739526E+16 0.3140212E+14
201912 0.1737756E+16 0.2847993E+14
202001 0.1726309E+16 0.2453205E+14
202002 0.1717584E+16 0.3628710E+13
202003 0.1713833E+16 -.1251822E+14
202004 0.1709899E+16 -.6667803E+13
202005 0.1703845E+16 0.1546484E+14
